Símbolo	Probabilidad
0	0.056137
255	0.055492
254	0.043714
1	0.042535
253	0.034197
2	0.032966
252	0.027942
3	0.026659
251	0.022992
4	0.022123
250	0.018642
5	0.018473
6	0.015483
249	0.015401
7	0.012939
248	0.012549
8	0.010733
247	0.010144
9	0.008916
246	0.008361
10	0.007300
245	0.006758
11	0.006140
244	0.005664
12	0.005208
243	0.004853
13	0.004415
242	0.004279
14	0.003832
241	0.003736
240	0.003379
15	0.003296
239	0.003007
16	0.002962
238	0.002736
17	0.002701
237	0.002565
18	0.002508
236	0.002391
19	0.002378
235	0.002298
20	0.002228
234	0.002216
21	0.002176
22	0.002147
233	0.002146
23	0.002100
24	0.002080
230	0.002049
232	0.002033
229	0.002028
25	0.002017
31	0.002016
228	0.002006
226	0.002002
178	0.002000
90	0.002000
102	0.001999
192	0.001998
27	0.001998
151	0.001998
143	0.001998
231	0.001997
56	0.001996
26	0.001995
218	0.001991
33	0.001991
227	0.001991
95	0.001990
214	0.001990
78	0.001988
200	0.001986
83	0.001986
107	0.001985
197	0.001984
52	0.001984
206	0.001984
32	0.001984
130	0.001984
75	0.001983
65	0.001983
73	0.001982
161	0.001979
217	0.001978
91	0.001977
165	0.001977
128	0.001976
211	0.001975
193	0.001974
30	0.001974
93	0.001974
189	0.001973
186	0.001971
174	0.001971
204	0.001971
118	0.001970
100	0.001969
114	0.001969
99	0.001969
205	0.001969
51	0.001968
29	0.001967
89	0.001966
137	0.001966
160	0.001966
79	0.001966
80	0.001965
196	0.001965
147	0.001964
41	0.001964
180	0.001964
35	0.001962
176	0.001962
53	0.001961
183	0.001961
132	0.001961
124	0.001961
47	0.001960
155	0.001959
62	0.001959
199	0.001958
69	0.001958
190	0.001957
131	0.001957
85	0.001956
140	0.001956
164	0.001955
213	0.001955
225	0.001955
122	0.001955
166	0.001955
156	0.001955
110	0.001955
173	0.001955
82	0.001954
28	0.001953
159	0.001953
220	0.001953
94	0.001953
119	0.001953
76	0.001953
169	0.001952
60	0.001952
191	0.001952
139	0.001951
105	0.001951
207	0.001951
112	0.001951
224	0.001950
222	0.001950
163	0.001949
208	0.001949
109	0.001949
182	0.001949
149	0.001949
216	0.001948
188	0.001948
101	0.001948
77	0.001948
103	0.001946
106	0.001946
121	0.001946
150	0.001946
59	0.001946
185	0.001946
115	0.001946
86	0.001946
92	0.001946
162	0.001946
126	0.001945
184	0.001945
34	0.001944
201	0.001944
170	0.001944
138	0.001944
209	0.001943
167	0.001943
146	0.001943
168	0.001943
88	0.001942
67	0.001942
50	0.001942
70	0.001942
172	0.001941
177	0.001941
179	0.001941
43	0.001941
135	0.001941
38	0.001940
215	0.001940
203	0.001940
57	0.001940
97	0.001940
123	0.001940
61	0.001939
157	0.001939
195	0.001939
153	0.001938
104	0.001938
39	0.001938
46	0.001938
152	0.001938
81	0.001938
187	0.001937
120	0.001937
87	0.001937
158	0.001935
171	0.001935
55	0.001933
154	0.001933
37	0.001932
134	0.001932
198	0.001931
58	0.001931
54	0.001931
96	0.001931
181	0.001931
117	0.001929
129	0.001929
221	0.001928
175	0.001927
141	0.001927
71	0.001927
66	0.001927
136	0.001926
68	0.001926
148	0.001926
63	0.001924
144	0.001924
108	0.001923
98	0.001922
113	0.001922
210	0.001921
40	0.001920
36	0.001920
223	0.001919
125	0.001919
219	0.001918
212	0.001918
44	0.001917
145	0.001915
111	0.001915
133	0.001914
127	0.001912
42	0.001911
72	0.001911
84	0.001910
45	0.001910
116	0.001909
64	0.001906
74	0.001905
142	0.001905
49	0.001903
194	0.001896
48	0.001896
202	0.001888
